lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0003,32,16.0,3,0.0,0.9,0.999,0.9163,0.2617,6312,0.9163,0.2617,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a16_ep3_wd_0p0000e00,ok
0.0003,128,16.0,3,0.1,0.9,0.999,0.9117,0.2526,4208,0.9094,0.2691,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a16_ep3_wd_1p0000e-01,ok
0.0003,32,32.0,3,0.01,0.9,0.999,0.9117,0.2603,2104,0.8899,0.3044,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a32_ep3_wd_1p0000e-02,ok
0.0003,64,64.0,3,0.01,0.9,0.999,0.9106,0.2675,4208,0.9025,0.2885,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a64_ep3_wd_1p0000e-02,ok
0.0003,64,8.0,3,0.01,0.9,0.999,0.9106,0.2578,4208,0.9014,0.2578,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a8_ep3_wd_1p0000e-02,ok
0.0003,32,32.0,3,0.0,0.9,0.999,0.9094,0.2909,6312,0.9094,0.2909,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a32_ep3_wd_0p0000e00,ok
0.0003,128,32.0,3,0.0,0.9,0.999,0.9083,0.2855,6312,0.9083,0.2855,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a32_ep3_wd_0p0000e00,ok
0.0003,128,8.0,3,0.01,0.9,0.999,0.9083,0.2461,2104,0.9037,0.265,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a8_ep3_wd_1p0000e-02,ok
0.0003,16,32.0,3,0.1,0.9,0.999,0.9083,0.286,6312,0.9083,0.286,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a32_ep3_wd_1p0000e-01,ok
0.0003,16,8.0,3,0.1,0.9,0.999,0.9083,0.271,6312,0.9083,0.271,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a8_ep3_wd_1p0000e-01,ok
